timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1630609819276,154,GET Activity,200,OK,Stress Tests 1-9,text,true,,351,187,16,16,https://ensure-quality-appservice.azurewebsites.net/api/Activities/9,154,0,0
1630609819265,166,GET Activity,200,OK,Stress Tests 1-12,text,true,,353,188,16,16,https://ensure-quality-appservice.azurewebsites.net/api/Activities/12,166,0,0
1630609819274,157,GET Activity,200,OK,Stress Tests 1-5,text,true,,351,187,16,16,https://ensure-quality-appservice.azurewebsites.net/api/Activities/5,157,0,0
1630609819427,84,GET Activity,200,OK,Stress Tests 1-19,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/19,84,0,0
1630609819307,293,GET All Activities,200,OK,Stress Tests 1-20,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,293,0,223
1630609819601,85,GET Activity,200,OK,Stress Tests 1-20,text,true,,353,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/20,84,0,0
1630609819543,308,GET All Activities,200,OK,Stress Tests 1-21,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,307,0,226
1630609819851,80,GET Activity,200,OK,Stress Tests 1-21,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/21,80,0,0
1630609819769,317,GET All Activities,200,OK,Stress Tests 1-22,text,true,,3079,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,317,0,240
1630609820086,77,GET Activity,200,OK,Stress Tests 1-22,text,true,,353,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/22,77,0,0
1630609820007,301,GET All Activities,200,OK,Stress Tests 1-23,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,301,0,225
1630609820308,85,GET Activity,200,OK,Stress Tests 1-23,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/23,85,0,0
1630609820233,288,GET All Activities,200,OK,Stress Tests 1-24,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,288,0,218
1630609820522,79,GET Activity,200,OK,Stress Tests 1-24,text,true,,352,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/24,79,0,0
1630609820464,308,GET All Activities,200,OK,Stress Tests 1-25,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,308,0,220
1630609820773,89,GET Activity,200,OK,Stress Tests 1-25,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/25,89,0,0
1630609820689,306,GET All Activities,200,OK,Stress Tests 1-26,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,306,0,226
1630609820995,81,GET Activity,200,OK,Stress Tests 1-26,text,true,,353,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/26,81,0,0
1630609820918,295,GET All Activities,200,OK,Stress Tests 1-27,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,295,0,215
1630609821214,82,GET Activity,200,OK,Stress Tests 1-27,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/27,82,0,0
1630609821149,297,GET All Activities,200,OK,Stress Tests 1-28,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,297,0,220
1630609821447,75,GET Activity,200,OK,Stress Tests 1-28,text,true,,353,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/28,75,0,0
1630609821385,300,GET All Activities,200,OK,Stress Tests 1-29,text,true,,3109,185,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities,299,0,223
1630609821685,72,GET Activity,200,OK,Stress Tests 1-29,text,true,,354,188,2,2,https://ensure-quality-appservice.azurewebsites.net/api/Activities/29,72,0,0
1630609821615,291,GET All Activities,200,OK,Stress Tests 1-30,text,true,,3109,185,1,1,https://ensure-quality-appservice.azurewebsites.net/api/Activities,291,0,214
1630609821907,85,GET Activity,200,OK,Stress Tests 1-30,text,true,,353,188,1,1,https://ensure-quality-appservice.azurewebsites.net/api/Activities/30,85,0,0
